moo,,БУМАГА НА 01/06/2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,ФАКТУРА,НАТУРАЛ,МЕТАЛЛ,СОФТ,СПИСАТЬ,КОНВЕРТ
ДИЗАЙНЕРСКАЯ БУМАГА,,,,,,,,,,,"остаток, лист",,,,,,
ПОСТАВЩИК,ПРИХОД,НАИМЕНОВАНИЕ,ФОРМАТ,КОЛ-ВО,,,,ЦЕНА с ндс,"ЦВЕТ, ФАКТУРА",ПЛОТНОСТЬ,01/06/26,,,,,,
АртПапера,ТН1541203 от 13.01.26г.,"Бумага дизайнерская Quill Ice White Белый 300г /м2 , Китай",лист SRA3,40,"1,00","3,00","3,00","3,60",БЕЛЫЙ ХАМЕЛЕОН,300,,,,,,,
АртПапера,ТН1541203 от 13.01.26г.,"Бумага дизайнерская Quill Pearl White Айвори 300г /м2 , Китай",лист SRA3,40,"1,00","3,00","3,00","3,60",АЙВОРИ,300,,,,,,,
АртПапера,ТН1541203 от 13.01.26г.,"Бумага дизайнерская ColorFlow Fresh Mint Свежая мята, 300г/м2, Китай",лист SRA3,20,"1,38","2,18","3,00","3,60",МЯТНЫЙ,300,,,,,,,
АртПапера,ТН1541203 от 13.01.26г.,"Бумага дизайнерская ColorFlow Damask blue Небо Дамаска, 300г/м2, Китай",лист SRA3,20,"1,38","2,18","3,00","3,60",ГОЛУБОЙ,300,,,,,,,
АртПапера,ТН1541203 от 13.01.26г.,"Бумага дизайнерская ColorFlow Cream Волшебная свеча, 300г/м2, Китай",лист SRA3,20,"1,38","2,18","3,00","3,60",ВОЛШЕБНАЯ СВЕЧА,300,,,,,,,
АртПапера,ТН1541456 от 04.02.26г.,"Бумага дизайнерская Quill Ice White Белый 300г /м2 , Китай",лист SRA3,100,"1,00","3,00","3,00","3,60",БЕЛЫЙ ХАМЕЛЕОН,300,,,,,,,
СОФТ-ТАЧ,,,,,,,,,,,,,,,,,
АртПапера,ТН2137592 от 16.10.25г.,"Бумага дизайнерская TactiTouch Red (красный), 300г/м2, Китай",лист SRA3,15,"2,00","2,00","4,00","4,80",КРАСНЫЙ,300,конверты + тиснение,,САША,3 с листа,,,
АртПапера,ТН2137592 от 16.10.25г.,"Бумага дизайнерская TactiTouch Green (зеленый), 300г/м2, Китай",лист SRA3,12,"2,00","2,00","4,00","4,80",ЗЕЛЕНЫЙ,300,конверты залкид+ тиснение,,САША,3 с листа,,,
АртПапера,ТН2137592 от 16.10.25г.,"Бумага дизайнерская TactiTouch burgundy (Бордо), 300г/м2, Китай",лист SRA3,18,"2,00","2,00","4,00","4,80",БОРДОВЫЙ,300,конверты залкид+ тиснение,,САША,3 с листа,,,
АртПапера,ТН2137592 от 16.10.25г.,"Бумага дизайнерская TactiTouch Blue Parisian (Синий парижский), 300г/м2, Китай",лист SRA3,20,"2,00","2,00","4,00","4,80",СИНИЙ,300,конверты залкид+ тиснение,,САША,3 с листа,,,
Артпапера,ТТН2137866 от 19.11.25г.,"Бумага дизайнерская TactiTouch Coffe (кофе), 300г/м2, Китай",лист SRA3,20,"2,00","2,00","4,00","4,80",КОФЕЙНЫЙ,300,,,,,,,
АртПапера,ТН2137592 от 16.10.25г.,"Бумага дизайнерская Rubber like black/черный 300г, Китай",лист SRA3,15,"2,75","1,46","4,00","4,80",ЧЕРНЫЙ,300,конверты + тиснение,,САША,3 с листа,,,
Люмитекс,ТТН2164720 от 09.12.25г.,"Бумага дизайнерская SENSE P5004-300гл.ст. софт-тач синий кобальт, 300г/м2, лист 787*1092мм, Китай",лист А5 (148*210мм),18,"0,50","1,50","0,75","0,90",СИНИЙ КОБОЛЬТ,120,ОСТАТКИ обложка синяя птица ,,,,,,
АртПапера,ТН2138183 от 10.12.25г.,"Бумага дизайнерская Popular Soft Touch 1/S White (белый), 120г/м2, Китай",лист SRA3,40,"0,88","1,42","1,25","1,50",МОЛОЧНЫЙ,120,ОСТАТКИ вн. Часть сертификат синяя птица,,,,,,
КОНВЕРТЫ ВЫРУБКА,,,,40,,,,,,,,,,,,,
Люмитекс,ТТН2164111 от 25.11.25г.,"Бумага Majestic RED SATIN, 250г/м2, Италия",лист SRA3,40,"1,69","1,78","3,00","3,60",перламутр / металлик,250,КОНВЕРТЫ,60 шт,,А6,,,
Люмитекс,ТТН2164111 от 25.11.25г.,"Бумага Burano SC Nero Notte, 250г/м2, Италия",лист SRA3,40,"1,13","2,00","2,25","2,70",фактурная,250,КОНВЕРТЫ,60 шт,,А6,,,
Люмитекс,ТТН2164111 от 25.11.25г.,"Бумага Burano SC ENGLISH GREEN, 250г/м2, Италия",лист SRA3,40,"1,22","1,44","1,75","2,10",натуральная зеленая,250,КОНВЕРТЫ,60 шт,,А6,,,
